Date,Mean daily temperature (Celsius) of Saugeen River 
89-06-08,18
89-06-09,19.75
89-06-10,18.5
89-06-11,11.5
89-06-12,12
89-06-13,13.5
89-06-14,15
89-06-15,15.75
89-06-16,15.5
89-06-17,16.5
89-06-18,13.5
89-06-19,16.75
89-06-20,19
89-06-21,17.25
89-06-22,18.75
89-06-23,21.5
89-06-24,19
89-06-25,21.75
89-06-26,18.5
89-06-27,21.5
89-06-28,20.5
89-06-29,16.75
89-06-30,11.75
89-07-01,12.5
89-07-02,15.5
89-07-03,17
89-07-04,21.25
89-07-05,21.25
89-07-06,21.75
89-07-07,22
89-07-08,22
89-07-09,17
89-07-10,19.5
89-07-11,23.25
89-07-12,18.5
89-07-13,18.25
89-07-14,17.25
89-07-15,15.5
89-07-16,13
89-07-17,15.75
89-07-18,15.5
89-07-19,20.75
89-07-20,22.75
89-07-21,21.5
89-07-22,18.5
89-07-23,22
89-07-24,21.75
89-07-25,22.75
89-07-26,23.75
89-07-27,26.75
89-07-28,24.75
89-07-29,19
89-07-30,15.5
89-07-31,20
89-08-01,19
89-08-02,19
89-08-03,22.75
89-08-04,22.75
89-08-05,23.75
89-08-06,24.5
89-08-07,16.75
89-08-08,12.5
89-08-09,13.5
89-08-10,18.5
89-08-11,19.25
89-08-12,19.75
89-08-13,20
89-08-14,20
89-08-15,21.5
89-08-16,20.75
89-08-17,17.5
89-08-18,15
89-08-19,14.75
89-08-20,16.25
89-08-21,19.25
89-08-22,19.75
89-08-23,15.25
89-08-24,18.25
89-08-25,14.5
89-08-26,13.5
89-08-27,15.25
89-08-28,17.5
89-08-29,18.25
89-08-30,21
89-08-31,16.5
89-09-01,17.25
89-09-02,20.25
89-09-03,13.25
89-09-04,13.5
89-09-05,14.75
89-09-06,22
89-09-07,21.75
89-09-08,22
89-09-09,22.75
89-09-10,23.25
89-09-11,17.75
89-09-12,17
89-09-13,14.25
89-09-14,11.25
89-09-15,8.75
89-09-16,10.5
89-09-17,10.25
89-09-18,16.75
89-09-19,13.75
89-09-20,14.25
89-09-21,15.25
89-09-22,16.5
89-09-23,17.75
89-09-24,7.25
89-09-25,6.75
89-09-26,9.5
89-09-27,9.25
89-09-28,3.5
89-09-29,10.75
89-09-30,12
89-10-01,8
89-10-02,13
89-10-03,14
89-10-04,5
89-10-05,7
89-10-06,6.75
89-10-07,9.75
89-10-08,6.25
89-10-09,4.25
89-10-10,4.75
89-10-11,2.75
89-10-12,10.75
89-10-13,12.25
89-10-14,13.25
89-10-15,11
89-10-16,10
89-10-17,12.5
89-10-18,2.75
89-10-19,2.5
89-10-20,2.75
89-10-21,4.5
89-10-22,4
89-10-23,6.5
89-10-24,10.75
89-10-25,14.25
89-10-26,13.5
89-10-27,15.25
89-10-28,11.75
89-10-29,13.25
89-10-30,16
89-10-31,15.5
89-11-01,11.25
89-11-02,2
89-11-03,2.5
89-11-04,-1
89-11-05,-2
89-11-06,7.5
89-11-07,5.25
89-11-08,3
89-11-09,3
89-11-10,4.25
89-11-11,2
89-11-12,5
89-11-13,1.75
89-11-14,8.25
89-11-15,8.75
89-11-16,9.25
89-11-17,-2.25
89-11-18,-4
89-11-19,-4.5
89-11-20,0.25
89-11-21,2
89-11-22,-6.25
89-11-23,-5.25
89-11-24,-10.5
89-11-25,-1.75
89-11-26,0.5
89-11-27,0.25
89-11-28,1.25
89-11-29,-4
89-11-30,-6.25
89-12-01,-2.75
89-12-02,-9.75
89-12-03,-5
89-12-04,-11.75
89-12-05,-12.5
89-12-06,-6.75
89-12-07,-1.75
89-12-08,-10.25
89-12-09,-11
89-12-10,-9.5
89-12-11,-2.75
89-12-12,-11.25
89-12-13,-14.25
89-12-14,-18.75
89-12-15,-16.25
89-12-16,-11.25
89-12-17,-9.25
89-12-18,-9.75
89-12-19,-9.5
89-12-20,-8.25
89-12-21,-13
89-12-22,-16.5
89-12-23,-19.75
89-12-24,-13.75
89-12-25,-10
89-12-26,-6.5
89-12-27,-15.25
89-12-28,-12.5
89-12-29,-7
89-12-30,-9
89-12-31,-8.75
90-01-01,-1
90-01-02,-3.75
90-01-03,-2.5
90-01-04,-0.25
90-01-05,1.75
90-01-06,-3.5
90-01-07,-8
90-01-08,-7
90-01-09,-1
90-01-10,2.75
90-01-11,-1.5
90-01-12,-0.5
90-01-13,-7.25
90-01-14,-8.5
90-01-15,-3.25
90-01-16,-0.25
90-01-17,2.5
90-01-18,3.75
90-01-19,-0.25
90-01-20,-4.25
90-01-21,-3.25
90-01-22,-4.25
90-01-23,-3.25
90-01-24,-1.75
90-01-25,1
90-01-26,2
90-01-27,-1.75
90-01-28,1.75
90-01-29,-2.25
90-01-30,-2
90-01-31,-3
90-02-01,-0.25
90-02-02,0.25
90-02-03,-8.25
90-02-04,-7
90-02-05,-8.5
90-02-06,-6.75
90-02-07,0.75
90-02-08,0.25
90-02-09,3.75
90-02-10,1
90-02-11,-1.75
90-02-12,-3
90-02-13,0
90-02-14,1.75
90-02-15,-7
90-02-16,-7.25
90-02-17,-3
90-02-18,-14.5
90-02-19,-9
90-02-20,-4.5
90-02-21,-9
90-02-22,-1
90-02-23,1.75
90-02-24,-4.5
90-02-25,-9.75
90-02-26,-15.5
90-02-27,-10.25
90-02-28,-4
90-03-01,-7.25
90-03-02,-7
90-03-03,1
90-03-04,-7.5
90-03-05,-10.75
90-03-06,-15.25
90-03-07,-15.5
90-03-08,-14
90-03-09,-7.75
90-03-10,1.5
90-03-11,3
90-03-12,4.25
90-03-13,9.5
90-03-14,13.75
90-03-15,15.75
90-03-16,16.75
90-03-17,9.75
90-03-18,6
90-03-19,1
90-03-20,-2
90-03-21,-2.75
90-03-22,0.25
90-03-23,6.25
90-03-24,-3.75
90-03-25,-6
90-03-26,-2
90-03-27,-4.75
90-03-28,-4.25
90-03-29,-1.25
90-03-30,2.25
90-03-31,2.5
90-04-01,5
90-04-02,3.25
90-04-03,3.75
90-04-04,0.5
90-04-05,3
90-04-06,0.25
90-04-07,-2.25
90-04-08,-2.75
90-04-09,1.75
90-04-10,9
90-04-11,3
90-04-12,0.25
90-04-13,-3
90-04-14,0.65
90-04-15,4
90-04-16,4
90-04-17,3.75
90-04-18,1.25
90-04-19,2
90-04-20,7
90-04-21,9.75
90-04-22,8.25
90-04-23,8.75
90-04-24,14.5
90-04-25,16.25
90-04-26,21.75
90-04-27,21.25
90-04-28,22
90-04-29,20.5
90-04-30,19.25
90-05-01,16
90-05-02,6.5
90-05-03,3.25
90-05-04,5.75
90-05-05,5.5
90-05-06,10
90-05-07,7.75
90-05-08,8.75
90-05-09,15.25
90-05-10,14.5
90-05-11,8.75
90-05-12,5.5
90-05-13,7.25
90-05-14,10
90-05-15,8.5
90-05-16,14.75
90-05-17,14
90-05-18,12.25
90-05-19,7.5
90-05-20,6.75
90-05-21,8.25
90-05-22,11
90-05-23,9
90-05-24,9.5
90-05-25,10
90-05-26,11.5
90-05-27,14.25
90-05-28,14.75
90-05-29,13
90-05-30,10.5
90-05-31,7
90-06-01,12.25
90-06-02,15.75
90-06-03,23
90-06-04,16.5
90-06-05,8.25
90-06-06,9.75
90-06-07,16.5
90-06-08,12.75
90-06-09,13.25
90-06-10,19
90-06-11,14.25
90-06-12,13.75
90-06-13,12.5
90-06-14,20.75
90-06-15,21.5
90-06-16,14.75
90-06-17,20.5
90-06-18,23.5
90-06-19,19
90-06-20,13
90-06-21,12.5
90-06-22,20
90-06-23,17.75
90-06-24,14.25
90-06-25,12
90-06-26,13.5
90-06-27,21.25
90-06-28,14.75
90-06-29,13.5
90-06-30,17.25
90-07-01,17.5
90-07-02,15.5
90-07-03,15.75
90-07-04,21.25
90-07-05,26
90-07-06,17
90-07-07,15.75
90-07-08,13.5
90-07-09,19.5
90-07-10,18.75
90-07-11,16.75
90-07-12,16.25
90-07-13,14.75
90-07-14,15.75
90-07-15,14.75
90-07-16,20.75
90-07-17,20
90-07-18,23.25
90-07-19,21.75
90-07-20,21
90-07-21,19.25
90-07-22,16
90-07-23,15
90-07-24,16.75
90-07-25,16
90-07-26,17
90-07-27,19
90-07-28,20.25
90-07-29,22.25
90-07-30,22.75
90-07-31,18.5
90-08-01,16.25
90-08-02,15.25
90-08-03,17.75
90-08-04,18.75
90-08-05,21.75
90-08-06,20.25
90-08-07,17
90-08-08,14.25
90-08-09,16.5
90-08-10,20
90-08-11,19.75
90-08-12,17.25
90-08-13,15.75
90-08-14,18
90-08-15,16
90-08-16,19.25
90-08-17,20
90-08-18,21.75
90-08-19,22.75
90-08-20,17.25
90-08-21,15.5
90-08-22,17.5
90-08-23,15.75
90-08-24,21.5
90-08-25,19.25
90-08-26,20.25
90-08-27,23.75
90-08-28,22
90-08-29,21.25
90-08-30,18
90-08-31,14.5
90-09-01,16.5
90-09-02,21.5
90-09-03,17.75
90-09-04,13.25
90-09-05,15.5
90-09-06,19.75
90-09-07,18
90-09-08,13.75
90-09-09,11.25
90-09-10,16
90-09-11,18.25
90-09-12,14.75
90-09-13,15.75
90-09-14,21
90-09-15,20.75
90-09-16,10.75
90-09-17,9.75
90-09-18,6.75
90-09-19,7.5
90-09-20,10.5
90-09-21,10.75
90-09-22,11.25
90-09-23,13
90-09-24,8
90-09-25,9.75
90-09-26,14
90-09-27,12.75
90-09-28,12
90-09-29,17
90-09-30,13.75
90-10-01,7.75
90-10-02,7
90-10-03,9.75
90-10-04,14.25
90-10-05,12.75
90-10-06,12
90-10-07,20.5
90-10-08,12.25
90-10-09,8.5
90-10-10,6.25
90-10-11,8
90-10-12,8
90-10-13,5
90-10-14,7.5
90-10-15,8.75
90-10-16,10.75
90-10-17,7.75
90-10-18,16.25
90-10-19,10.5
90-10-20,2.5
90-10-21,5.25
90-10-22,12.5
90-10-23,6.25
90-10-24,4.25
90-10-25,5
90-10-26,4.25
90-10-27,1.75
90-10-28,5
90-10-29,2.25
90-10-30,3
90-10-31,6
90-11-01,5
90-11-02,10
90-11-03,15.25
90-11-04,15
90-11-05,4.75
90-11-06,3.25
90-11-07,2.25
90-11-08,2.5
90-11-09,-0.5
90-11-10,1
90-11-11,3.25
90-11-12,0.5
90-11-13,-0.5
90-11-14,-0.5
90-11-15,3
90-11-16,12
90-11-17,8.25
90-11-18,0
90-11-19,-0.75
90-11-20,1.75
90-11-21,2
90-11-22,4.5
90-11-23,7.75
90-11-24,4.25
90-11-25,3
90-11-26,1.5
90-11-27,5.25
90-11-28,10.75
90-11-29,9.25
90-11-30,-1
90-12-01,0.75
90-12-02,3.75
90-12-03,-0.25
90-12-04,-0.5
90-12-05,-3
90-12-06,-2.25
90-12-07,-0.5
90-12-08,-1.25
90-12-09,1.75
90-12-10,0.75
90-12-11,0.25
90-12-12,-1.75
90-12-13,4
90-12-14,0
90-12-15,-7.25
90-12-16,-3.5
90-12-17,-1
90-12-18,0.75
90-12-19,2
90-12-20,-4
90-12-21,-3.25
90-12-22,5.25
90-12-23,6.25
90-12-24,-5.5
90-12-25,-9
90-12-26,-8
90-12-27,-11
90-12-28,-7.5
90-12-29,-2.5
90-12-30,3.75
90-12-31,-4.5
91-01-01,-9.75
91-01-02,-4.3
91-01-03,-4.8
91-01-04,-8.3
91-01-05,-6.5
91-01-06,-5.3
91-01-07,-3.3
91-01-08,-15
91-01-09,-13.3
91-01-10,-4
91-01-11,-10.3
91-01-12,-9
91-01-13,-7.3
91-01-14,-9.3
91-01-15,-1.3
91-01-16,1.8
91-01-17,2
91-01-18,-0.8
91-01-19,-1.8
91-01-20,1.3
91-01-21,-5.8
91-01-22,-14.8
91-01-23,-12.5
91-01-24,-6
91-01-25,-11.8
91-01-26,-12.8
91-01-27,-9
91-01-28,-5.8
91-01-29,-2.8
91-01-30,-9.3
91-01-31,-6
91-02-01,-8.3
91-02-02,-6.5
91-02-03,-2.3
91-02-04,4.3
91-02-05,6
91-02-06,1.8
91-02-07,1.3
91-02-08,1.5
91-02-09,1.5
91-02-10,1
91-02-11,-5.8
91-02-12,-10
91-02-13,-7.5
91-02-14,-3
91-02-15,-3.8
91-02-16,-15
91-02-17,-11.5
91-02-18,-9
91-02-19,-7
91-02-20,3.3
91-02-21,0
91-02-22,2
91-02-23,-3.8
91-02-24,-10.3
91-02-25,-4.3
91-02-26,-2.8
91-02-27,-7
91-02-28,-7.3
91-03-01,-3.8
91-03-02,4
91-03-03,3.3
91-03-04,-8.3
91-03-05,-3.3
91-03-06,-1.3
91-03-07,4.3
91-03-08,-6
91-03-09,-6.8
91-03-10,-2.5
91-03-11,-5.5
91-03-12,-9.3
91-03-13,-8.8
91-03-14,-6
91-03-15,-1
91-03-16,-1.8
91-03-17,-1
91-03-18,0.8
91-03-19,2
91-03-20,3
91-03-21,0.5
91-03-22,4
91-03-23,2
91-03-24,9.8
91-03-25,1.5
91-03-26,1
91-03-27,4.8
91-03-28,12.8
91-03-29,3
91-03-30,-2.5
91-03-31,-4.5
91-04-01,-1
91-04-02,1.8
91-04-03,0
91-04-04,2.5
91-04-05,9
91-04-06,11.8
91-04-07,16.3
91-04-08,20
91-04-09,15.5
91-04-10,7.5
91-04-11,-0.3
91-04-12,0.8
91-04-13,1.8
91-04-14,5.3
91-04-15,5.3
91-04-16,9
91-04-17,7
91-04-18,1.5
91-04-19,5.3
91-04-20,6
91-04-21,1.8
91-04-22,4
91-04-23,5.3
91-04-24,6.5
91-04-25,10
91-04-26,7.5
91-04-27,11
91-04-28,12.8
91-04-29,14.3
91-04-30,15.8
91-05-01,14.8
91-05-02,10.3
91-05-03,5.8
91-05-04,5.8
91-05-05,6.3
91-05-06,9.3
91-05-07,10.3
91-05-08,7.3
91-05-09,5.5
91-05-10,10
91-05-11,15
91-05-12,16
91-05-13,19.3
91-05-14,17.5
91-05-15,18
91-05-16,16.8
91-05-17,20
91-05-18,9.3
91-05-19,9
91-05-20,9.5
91-05-21,12
91-05-22,14.3
91-05-23,18.5
91-05-24,23.3
91-05-25,21.8
91-05-26,21.5
91-05-27,20.8
91-05-28,23
91-05-29,20.8
91-05-30,23.5
91-05-31,21.5
91-06-01,20
91-06-02,19
91-06-03,17.5
91-06-04,15
91-06-05,13.3
91-06-06,13
91-06-07,14.5
91-06-08,15
91-06-09,15.3
91-06-10,16.3
91-06-11,22.5
91-06-12,19.3
91-06-13,14
91-06-14,10
91-06-15,17
91-06-16,24.8
91-06-17,18.8
91-06-18,19.5
91-06-19,20.3
91-06-20,20
91-06-21,19
91-06-22,18.3
91-06-23,17
91-06-24,14.3
91-06-25,15.8
91-06-26,17
91-06-27,21.8
91-06-28,26
91-06-29,25.8
91-06-30,23.5
91-07-01,18.3
91-07-02,16.3
91-07-03,20.5
91-07-04,20.8
91-07-05,20.5
91-07-06,20.5
91-07-07,21.5
91-07-08,22.3
91-07-09,18
91-07-10,15.8
91-07-11,16.5
91-07-12,17.5
91-07-13,17
91-07-14,19.3
91-07-15,16
91-07-16,15.3
91-07-17,19
91-07-18,23
91-07-19,23
91-07-20,25
91-07-21,23.8
91-07-22,23
91-07-23,22.8
91-07-24,20
91-07-25,18.3
91-07-26,16
91-07-27,14.5
91-07-28,13.3
91-07-29,15.3
91-07-30,17.8
91-07-31,16.8
91-08-01,17.5
91-08-02,21.3
91-08-03,18.3
91-08-04,17.8
91-08-05,16
91-08-06,15
91-08-07,15.3
91-08-08,17.3
91-08-09,17
91-08-10,17.5
91-08-11,17.8
91-08-12,18.8
91-08-13,19.5
91-08-14,18.5
91-08-15,18.8
91-08-16,21.8
91-08-17,22.8
91-08-18,21.8
91-08-19,19
91-08-20,18.3
91-08-21,16.5
91-08-22,18.3
91-08-23,18.5
91-08-24,17.3
91-08-25,17.5
91-08-26,20
91-08-27,23.3
91-08-28,25
91-08-29,24.5
91-08-30,24.3
91-08-31,24.8
91-09-01,14.3
91-09-02,11.8
91-09-03,14.8
91-09-04,19.3
91-09-05,16
91-09-06,14.8
91-09-07,17.8
91-09-08,19.3
91-09-09,19.8
91-09-10,22.5
91-09-11,19.3
91-09-12,12.5
91-09-13,12.3
91-09-14,14.8
91-09-15,17.8
91-09-16,22.8
91-09-17,23.3
91-09-18,15.5
91-09-19,15.5
91-09-20,8.8
91-09-21,7.5
91-09-22,7
91-09-23,12
91-09-24,11.8
91-09-25,8.5
91-09-26,7.3
91-09-27,7.8
91-09-28,6.3
91-09-29,6.8
91-09-30,5.5
91-10-01,10
91-10-02,11.8
91-10-03,14
91-10-04,13
91-10-05,12.5
91-10-06,15
91-10-07,6.8
91-10-08,6.8
91-10-09,9
91-10-10,10.8
91-10-11,8
91-10-12,7.5
91-10-13,4.8
91-10-14,3
91-10-15,3.8
91-10-16,5.8
91-10-17,4
91-10-18,10.3
91-10-19,7
91-10-20,4.8
91-10-21,1.8
91-10-22,6
91-10-23,10.3
91-10-24,18
91-10-25,17.5
91-10-26,17.3
91-10-27,13
91-10-28,8.3
91-10-29,8.8
91-10-30,9.8
91-10-31,11.3
91-11-01,9
